datetime,category,headline,id,image,related,source,summary,url
2024-10-08 11:03:00,company,NetEase Inc (NTES) Shares Gap Down to $95.12 on Oct 8,130297140,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=06de227990bd6898e326142c68f5b9d4cc95f0afe381a0929d7f1a9c5b3a672b
2024-10-09 07:03:00,company,"Delek Logistics Partners, Futu Holdings, NetEase And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session",130318990,,NTES,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=36a6ba4a6c4263db7be53528494f36e942875c0291365193cfe06223a92eb159
2024-10-09 11:45:52,company,Is NetEase (NTES) Set to Thrive with a Robust Gaming Pipeline and No Debt?,130311374,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently published a list of 7 Most Profitable Chinese Stocks To Invest In. In this article, we are going to take a look at where NetEase (NASDAQ:NTES) stands against the other most profitable Chinese stocks to invest in. China’s Economic Growth According to a report by the IMF, the economy of China is expected […]",https://finnhub.io/api/news?id=f1f78c7af4fb508a81d20cc1438632765d92cdb86b36c4f93a2af1eccc1e0ed9
2024-10-10 09:58:00,company,November 29th Options Now Available For NetEase (NTES),130367483,,NTES,Stock Options Channel,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6539d26129eea7a92c22ea1d8e04fb965dd88bc03328cc4cef2b5d0797237f06
2024-10-11 21:23:30,company,Is NetEase Inc. (NTES) the Ultimate Investment Play in the Booming Mobile Gaming Market?,130400334,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently published a list of 7 Best Gaming Stocks To Buy Now. In this article, we are going to take a look at where NetEase Inc. (NASDAQ:NTES) stands against the other best gaming stocks to buy now. A Quick Look at the Gaming Industry The gaming industry does not only provide entertainment but also […]",https://finnhub.io/api/news?id=c25c8ea5f501e62d610b1213d996f2c9a56917f4867e5a8a5bda4f82a9221a53
2024-10-13 18:46:49,company,Is NetEase Inc. (NTES) the Most Profitable NASDAQ Stock to Invest In?,130455700,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently compiled a list of the 10 Most Profitable NASDAQ Stocks To Invest In. In this article, we are going to take a look at where NetEase Inc. (NASDAQ:NTES) stands against the other profitable NASDAQ stocks. Is the Market Sentiment Still Bullish? Recent analysis indicates that an anticipated tech rally may be delayed until year-end, […]",https://finnhub.io/api/news?id=d233c864cecf54e9b79c554c2bcbecd5dc05667addfd6528d93a71762334b5f2
2024-10-14 01:27:00,company,"Bungie unveils mobile game 'Destiny: Rising,' developed by NetEase",130450914,,NTES,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e456eeb56a527b3361f3f0fc8d1f09bf35200b747cf4fb63bec0a84b82633fca
2024-10-14 03:51:00,company,NTES Experiences Pre-Market Decline Amidst Slowing Game Revenue Growth,130450913,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2b2f3bf404afd0b583ef4633aabbc288293dc5bd254681da4c2d85fe86ca6250
2024-10-14 11:02:00,company,NetEase Inc (NTES) Trading Down 3.16% on Oct 14,130450912,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7321fb5b2e22dfe02582a65bc6ad4feff948f742b78f8daac5be32a3e9aef8af
2024-10-15 04:27:00,company,"3 Best Dividend Stocks, According to Analysts, 10/15/2024",130464215,,NTES,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=361e8a1f951c1e722fc40f362e4a9a862c70dadc1bd46d405a50fa4661fe4967
2024-10-15 11:22:00,company,"Game On: U.S. game spending fell 7% in August, according to Circana",130463204,,NTES,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1a4071ac74c05c55d1fa520a5958cc6b8b8ca5bcd107ebfb310c54c0be99aaa6
2024-10-15 11:46:04,company,"NetEase, Inc. (NTES): An Undervalued Foreign Stock to Buy According to Analysts",130479149,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently compiled a list of the 7 Most Undervalued Foreign Stocks to Buy According to Analysts. In this article, we are going to take a look at where NetEase, Inc. (NASDAQ:NTES) stands against the other undervalued foreign stocks. Chinese stocks have seen a strong rally since September-end as numerous supportive measures have reignited the investors’ confidence. The […]",https://finnhub.io/api/news?id=83b130d8cb6ea30b05449ce58ef6919eaf7c9015441cd8cfeea8304b65802a23
2024-10-15 20:30:23,company,"Is Net Ease, Inc. (NTES) a Rising Star Among the Most Promising Chinese Stocks?",130479148,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently published a list of 8 Most Promising Chinese Stocks According to Hedge Funds. In this article, we are going to take a look at where Net Ease, Inc. (NASDAQ:NTES) stands against other most promising Chinese stocks. China’s New Economic Plan The Chinese stock market shows compelling signs after announcing that Asia’s largest economy […]",https://finnhub.io/api/news?id=054a66cf7dd184391a0071447d27a21b4c310de487d0533547b55ae2e8ce1242
2024-10-17 04:11:00,company,"NetEase (NTES) Falls as Mobile Game ""Project Revival"" to Cease Operations",130530434,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=69364b1380605736767756c5a4b7a9acf3509125d199f14a330f4c83a07e6376
2024-10-19 15:24:20,company,Is NetEase Inc. (NTES) the Most Profitable Gaming Stock To Invest In?,130599944,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently compiled a list of 7 Most Profitable Gaming Stocks To Invest In. In this article, we will look at where NetEase Inc. (NASDAQ:NTES) ranks among the most profitable gaming stocks to invest in. Gaming Evolution: Key Trends Shaping the Market The gaming industry is currently experiencing significant changes driven by technology and evolving […]",https://finnhub.io/api/news?id=64dc2a84c641e600f1902fcd53aaba3d10e4852ed39b8ddb904214b7da4e6643
2024-10-22 00:28:11,company,"Is NetEase, Inc. (NTES) the Best Communication Stock to Buy According to Analysts?",130646938,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently compiled a list of the 8 Best Communication Stocks To Buy According to Analysts. In this article, we are going to take a look at where NetEase, Inc. (NASDAQ:NTES) stands against the other communication stocks. The communication sector seems to be performing well through this year as the sector ETFs are slightly outperforming the […]",https://finnhub.io/api/news?id=6349de5f41e059429a53d3594669189ad8e604a42b807574b7b8ebbb46d7c6d2
2024-10-22 07:17:00,company,Jefferies Reaffirms Their Buy Rating on Netease Inc (9999),130654399,,NTES,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=bd5032928440d174c30c898d01859b9659c65b09fe92d3d0039383b8ee82e7e5
2024-10-23 01:20:00,company,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",130679302,,NTES,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8748643436d4f76908654a43157aab93f857fd8709edef62613456b9e8744acf
2024-10-24 01:52:03,company,NetEase Inc. (NTES): Among the Best Esports Stocks to Buy According to Hedge Funds,130709995,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently compiled a list of the 8 Best Esports Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where NetEase Inc. (NASDAQ:NTES) stands against the other esports stocks. The Future of Esports: Emerging Trends and Market Potential The esports sector is experiencing significant growth and transformation, […]",https://finnhub.io/api/news?id=9d6bed8975f39fc10ab0369d62806c509c75f6fb7105e148eee6f704bc292825
2024-10-24 02:00:00,company,NetEase Cloud Music Acquires Exclusive 30-Day Premiere for Kakao Entertainment's Latest K-POP Hits in China,130709994,https://media.zenfs.com/en/prnewswire.com/8d5cd8e11c08dd29e08a0a4eec13539a,NTES,Yahoo,"NetEase Cloud Music, a leading online music platform in China, has joined forces with Kakao Entertainment, a prominent South Korean entertainment company, to premiere new K-POP songs in China. Starting October 24, 2024, NetEase Cloud Music will exclusively feature Kakao Entertainment's latest music releases for the first 30 days concurrent with their global launch.",https://finnhub.io/api/news?id=951d28fc1476e5c6b95b623f342e05abb7d93ae5849026cb8febbfefc1c27fc2
2024-10-24 04:12:00,company,NetEase (NTES) Faces Revenue and Profit Declines Amid Game Performance Lag,130710449,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=35955cc5144236faedf42d5fb267514b88b9e5cf3eb70d06ad2b2982ec1dac6d
2024-10-24 06:00:00,company,NetEase partners with Kakao Entertainment to premiere new K-POP songs in China,130710447,,NTES,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ead08c321bb3affde40ec389b5f5c9826d1b0268836a4ec70790bbd65e8a5b28
2024-10-25 12:39:00,company,7 Communication Services Stocks With Whale Alerts In Today's Session,130726706,,NTES,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=47bd6bab2b950ebc471fb560abfd7a8978796a5d421b76cc927ce90db250a64d
2024-10-29 11:31:00,company,"Game On: U.S. video game spending fell 6% y/y in September, says Circana",130817414,,NTES,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ebaa6adae15a546ac434532b9e85c2caf2eccd37c3ea5fc0198fbbaa0fc88aae
2024-10-31 08:30:00,company,NetEase to Report Third Quarter 2024 Financial Results on November 14,130888424,https://media.zenfs.com/en/prnewswire.com/548edb378cffc170230396529bbe1707,NTES,Yahoo,"NetEase, Inc. (NASDAQ: NTES and HKEX: 9999, ""NetEase"" or the ""Company""), a leading internet and game services provider, today announced that it will report financial results for the 2024 third quarter on Thursday, November 14, 2024, before the open of the U.S. markets.",https://finnhub.io/api/news?id=4c2679a9928a8d4fe758e0169779424977bbec2363e46bcce8b713a7a4ea9cb9
2024-11-03 00:40:32,company,NetEase (SEHK:9999) Faces Dividend Decrease Amid Strong Market Position and Earnings Growth,131019458,https://media.zenfs.com/en/simply_wall_st__316/e3d3728a465377a85baabf183fd6253f,NTES,Yahoo,"Ecopro Materials(KOSE:A450080) is set to report its Q3 2024 results on October 31, 2024, followed by an earnings call on November 1, 2024. The company has demonstrated a robust 25% year-over-year revenue increase, driven by innovative product lines and strategic customer relationships. However, challenges such as supply chain inefficiencies and rising raw material costs remain, and the upcoming report will likely address how Ecopro Materials plans to navigate these hurdles while leveraging...",https://finnhub.io/api/news?id=a32325555139da12f3e9d7024be2104d163e9600d1a8958b3e04b0fb2313672f
2024-11-04 21:17:35,company,Top 50 High-Quality Dividend Growth Stocks - October 2024 Results,131063640,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1701697719/image_1701697719.jpg?io=getty-c-w1536,NTES,SeekingAlpha,My hypothesis is these model portfolios will deliver alpha over SPY and SCHD in the long term. Click here for a detailed analysis.,https://finnhub.io/api/news?id=45657ada66482d25a91abc7f115a0cf20c42343305d98e910cc19b33b429d75b
2024-11-12 03:52:14,company,"NetEase: Robust IP, Strong R&D, And An Attractive Price",131299369,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1266314973/image_1266314973.jpg?io=getty-c-w1536,NTES,SeekingAlpha,"NetEase shows strong net profit growth and competitive advantage in mobile gaming, despite regulatory challenges. Read more on NTES stock here.",https://finnhub.io/api/news?id=bc878bbbccee834640e398f50b6e3eef5f7d58f2678b05bf3ce733f3734f8e73
2024-11-12 09:55:00,company,Dodge & Cox International Stock Fund Q3 2024 Shareholder Letter,131305111,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2070763900/image_2070763900.jpg?io=getty-c-w1536,NTES,SeekingAlpha,"During the third quarter of 2024, international equities posted strong results: the MSCI ACWI ex USA appreciated 8.1%, reflecting gains across all regions of the Index.",https://finnhub.io/api/news?id=46a5b405144f378ce4b9e3d312716f034d292f048c231e16520e64abbfc42e26
2024-11-14 08:30:00,company,NetEase Announces Third Quarter 2024 Unaudited Financial Results,131346677,https://media.zenfs.com/en/prnewswire.com/27b83fbc141542e634cc1693c95dfc3c,NTES,Yahoo,"NetEase, Inc. (NASDAQ: NTES and HKEX: 9999, ""NetEase"" or the ""Company""), a leading internet and game services provider, today announced its unaudited financial results for the third quarter ended September 30, 2024.",https://finnhub.io/api/news?id=badf5245d94d6dccc76ec25b885cfe491005d3a9559e2df7c3b33e275106a0a1
2024-11-14 10:06:37,company,NetEase: Q3 Earnings Snapshot,131346676,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,NTES,Yahoo,"HANGZHOU, China (AP) — NetEase Inc. NTES) on Thursday reported earnings of $931.7 million in its third quarter. The Hangzhou, China-based company said it had net income of $1.44 per share.",https://finnhub.io/api/news?id=741e7084ef44129bbb68c130ff49781fae298de9d057938b445c05835453499a
2024-11-14 11:05:00,company,NetEase’s Profit Falls on Weaker Gaming Revenue,131346675,https://s.yimg.com/ny/api/res/1.2/HHkB8dU3nzF34AYHOTSGLQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/wsj.com/b319d31813097826536cce1b5f4cccfe,NTES,Yahoo,The Chinese videogame giant’s profit tumbled for a second straight quarter and revenue missed market expectations as the main business delivered a soft performance.,https://finnhub.io/api/news?id=1a49f4858d88edc34955b0b81b15faaded1dbd3e90598cadeb761c4addf6333a
2024-11-14 11:22:40,company,"NetEase Q3 Earnings: Top Forecasts As Cloud Music Grows, Gaming Weakens",131346674,https://media.zenfs.com/en/Benzinga/f2d54e60625a08d6577c03bc9b7a13f3,NTES,Yahoo,"NetEase, Inc (NASDAQ:NTES) reported a fiscal third-quarter revenue decline of 3.9% year-on-year to $3.73 billion (26.2 billion Chinese yuan), topping the analyst consensus estimate of $3.65 billion. The Chinese gaming player’s adjusted EPADS of $1.67 beat the analyst consensus estimate of $1.61. The stock climbed after the print. Also Read: Nutanix Catalysts Include HCI Growth, VMware Market Share Shift, And AI Demand: Analyst Segments and margins: Games and related value-added services revenues",https://finnhub.io/api/news?id=1ca49b08023f04b390485cc04dbcfbab603ef47ebca745089e0d50dd2bf043ba
2024-11-14 11:47:08,company,"NetEase, Inc. (NTES) Q3 2024 Earnings Call Transcript",131351555,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NTES,SeekingAlpha,"NetEase, Inc. (NASDAQ:NTES) Q3 2024 Earnings Conference Call November 14, 2024 7:00 AM ETCompany ParticipantsBrandi Piacente - Investor RelationsWilliam...",https://finnhub.io/api/news?id=b5798183059e34f90785b85a7601f8e8efbfb791b5fdc14509053207cbe2bf8f
2024-11-14 11:51:25,company,"NetEase, Inc. 2024 Q3 - Results - Earnings Call Presentation",131351793,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NTES,SeekingAlpha,"The following slide deck was published by NetEase, Inc.",https://finnhub.io/api/news?id=929f74f9f4780c8873dc053001165b8ca053a518f1e388b1d9a4ca3267782edd
2024-11-14 15:10:44,company,NetEase Stock Soars 9%: The Gaming Giant's Winning Streak Just Got Even Hotter,131363821,https://media.zenfs.com/en/us.finance.gurufocus/87cec1ad3d4d90f0724b87bd8a0ab4d3,NTES,Yahoo,"Blockbuster game launches, global expansion, and big profits--here's why NetEase is dominating the gaming scene.",https://finnhub.io/api/news?id=013ca8ab8fc1cca9eb77d2aff50a2746f85f132297ea5490ee119c2059cc2159
2024-11-15 07:05:41,company,NetEase Inc (NTES) Q3 2024 Earnings Call Highlights: Gaming Division Drives Revenue Growth ...,131363820,https://media.zenfs.com/en/us.finance.gurufocus/334f4119a2a58ecf96a763ad41305b05,NTES,Yahoo,"NetEase Inc (NTES) reports a robust quarter with significant gains in gaming revenue and strategic global expansions, despite challenges in innovative business segments.",https://finnhub.io/api/news?id=8d7f24d84e556319366d4373634a40fcea550f76deaa76de78da99a35b5cf3d7
2024-11-16 15:33:16,company,"NetEase, Inc. (NASDAQ:NTES) Misses on Earnings: Is It Still a Buy Among Cheap Chinese Stocks?",131396037,https://s.yimg.com/ny/api/res/1.2/h47e0lHvKCq0wAokDGTOVQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/d2601fa0cb38b427cab35149ca4e6581,NTES,Yahoo,"We recently published a list of 12 Cheap Chinese Stocks to Buy According to Hedge Funds. In this article, we are going to take a look at where NetEase, Inc. (NASDAQ:NTES) stands against the other Cheap Chinese stocks to buy. Trump’s Back and China’s Stimulus Lags Trump is back as the President of the United […]",https://finnhub.io/api/news?id=6d2f9c428ca5eb9ff79277773311af0047e3ab27e51e98421eb05eb69a9a7021
2024-11-20 07:20:00,company,BlackRock Sustainable Emerging Markets Equity Fund Q3 2024 Commentary,131500142,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1605541393/image_1605541393.jpg?io=getty-c-w1536,NTES,SeekingAlpha,"The fund posted returns of 6.94%Â (Institutional shares) and 6.90%Â (Investor A shares, without sales charge) for the third quarter of 2024.",https://finnhub.io/api/news?id=076c998f0e1a4df1cc23bb64dc49f2a35d7c786c94fec3611622ec6f74949fa8
2024-11-28 04:26:00,company,New Zealand Shares Fall 1.2% From Three-Year High,131677639,,NTES,Yahoo,"New Zealand’s NZX-50 closed 1.2% lower at 13053.56, pulling back from a three-year high on broad-based losses.",https://finnhub.io/api/news?id=6189b5c692ec31b4865f9b957253b26a8f380a34ad8152990cda787fea1d6523
2024-11-28 11:01:00,company,Remy Cointreau’s Long-Term Story Remains Attractive,131683742,https://media.zenfs.com/en/wsj.com/7b2c285183be07ca3c4e8242b25a59a8,NTES,Yahoo,"Remy Cointreau shares gained sharply despite it warning of a weaker outlook in 2025, with Jefferies saying the drinks group’s long-term business remained compelling.",https://finnhub.io/api/news?id=34494a3308dc102da9ac30a46e20a0750db1867517e96e52d2e0f00acbc44fcb
2024-11-28 11:08:48,company,NetEase: Solid Gaming Leadership With Clear Growth Runway And Attractive Valuation,131686924,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1340491393/image_1340491393.jpg?io=getty-c-w1536,NTES,SeekingAlpha,"NetEase's strong game development, operational excellence, and growth opportunities make it a compelling investment despite recent revenue fluctuations.",https://finnhub.io/api/news?id=952b34a6803410070d439c464568cf471a5ceaa9bdef572af9f863467317dbc8
2024-11-29 09:30:00,company,NetEase cuts jobs in Shenzhen as first-person shooting game 'underperforms',131709430,https://s.yimg.com/ny/api/res/1.2/ovWnmdQpPZQtN0Uv.e2yoA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzA-/https://media.zenfs.com/en/south_china_morning_post_us_228/b3ac01b89d77ad35b5fa8a24c1ca9ccf,NTES,Yahoo,"NetEase, China's second-largest video gaming company, has cut an undisclosed number of jobs involved in an ""underperforming"" project that will soon be shut down, according to a person with knowledge of the matter and Chinese media reports. The lay-offs at the company's offices in southern tech hub Shenzhen affected employees involved in mobile game Hyper Front, a tactical team-based shooter that was launched on August 30 on the mainland, according to the person who asked to be anonymous because",https://finnhub.io/api/news?id=5d0ea394f76be545becb5eafc92320b8abd2388dbe851082ebc50ebbfdc9a783
